Evaluador,Obsevación,N_Modelo,ID,Instrumento,mm 11,mm 12,mm 13,mm 21,mm 22,mm 23,mm 13 - 11,mm 23 - 21,Distancia_intercanina mm 13 - 23,mm 41,mm 42,mm 43,mm 31,mm 32,mm 33,mm 43 - 41,mm 33 - 31,Distancia_intercanina mm 43 - 33
2,1,50,50,vernier,8.99,6.31,7.72,9.21,6.42,7.77,24.29,24.91,41.83,5.49,6.08,7.19,5.76,5.72,6.87,17.84,18.66,33.54
2,1,51,51,vernier,9.39,6.14,8.28,9.92,5.04,8.42,24.16,23.99,39.02,6.32,7.07,7.19,6.43,6.77,7.19,18.92,19.19,29.91
2,1,52,52,vernier,7.95,6.41,7.93,8.24,6.45,7.71,22.73,22.38,39.07,5.31,5.91,7.04,5.06,5.96,6.95,17.69,17.59,30.95
2,1,53,53,vernier,8.41,6.95,8.16,8.51,7.05,8.04,21.42,21.31,38.83,5.31,5.98,7.19,5.33,5.91,7.01,17.95,17.15,33.12
2,1,54,54,vernier,8.13,6.46,8.2,7.97,6.24,7.84,23.17,23.29,38.94,4.97,5.79,7.12,5.09,6.09,7.08,16.36,17.05,30.53
2,1,55,55,vernier,7.44,4.99,7.63,7.55,5.33,7.88,21.92,21.92,38.06,4.87,5.43,5.91,4.82,5.25,6.11,16.67,17.14,28.06
2,1,56,56,vernier,8.21,6.11,8.24,8.55,6.25,8.43,23.65,24.17,39.55,5.64,6.03,7.06,5.45,6.03,7.17,17.43,17.77,27.01
2,1,57,57,vernier,8.18,5.65,8.28,8.3,6.4,8.56,24.61,24.51,37.75,5.12,5.72,6.83,5.27,5.61,7.24,18.24,18.68,32.77
2,1,58,58,vernier,7.37,6.86,7.07,7.89,6.67,7.49,21.93,22.52,21.89,5.16,5.55,6.56,5.05,5.44,6.21,17.29,16.55,30.15
2,1,59,59,vernier,8.69,6.52,8.06,8.45,7.34,7.83,23.28,22.9,39.58,5.75,5.86,7.23,5.73,6.28,7.14,17.26,18.71,32.76
2,1,60,60,vernier,7.29,6.18,7.76,7.67,5.92,7.58,21.77,21.77,37.69,4.43,5.17,6.63,4.74,5.45,6.31,16.86,17.26,30.31
2,1,61,61,vernier,8.86,7.59,8.48,8.62,6.81,7.81,22.63,23.91,41.86,6.31,6.45,6.89,6.52,5.96,7.13,17.48,18.15,31.19
2,1,62,62,vernier,8.87,6.17,8.65,8.63,5.59,8.32,24.51,24.42,40.26,5.41,6.52,7.45,5.06,6.65,7.43,19.07,19.42,31.23
2,1,63,63,vernier,8.24,6.44,7.97,7.96,6.59,8.02,23.34,23.46,38.86,5.27,5.74,6.74,5.23,5.83,6.55,17.23,17.73,31.79
2,1,64,64,vernier,7.54,5.73,7.53,7.54,5.65,7.84,21.43,21.89,37.63,5.08,5.09,5.87,4.86,5.65,6.11,16.31,16.74,28.73
2,1,65,65,vernier,8.05,6.81,7.43,8.48,6.97,7.19,22.28,23.32,33.59,5.54,5.46,7.02,5.88,6.14,7.39,16.28,16.72,28.72
2,1,66,66,vernier,9.05,6.98,7.95,9.06,7.17,8.04,24.87,24.47,38.48,6.05,6.39,7.32,5.47,6.44,7.03,19.64,19.23,31.34
2,1,67,67,vernier,8.42,6.71,7.96,8.56,6.42,7.74,22.36,23.26,37.47,5.67,6.13,6.44,5.62,6.38,6.55,18.13,17.94,30.45
2,1,68,68,vernier,7.97,6.57,8.11,8.24,7.03,7.87,24.37,23.74,41.45,5.57,6.37,6.72,6.05,6.49,7.99,17.96,18.61,32.29
2,1,69,69,vernier,8.36,5.38,7.35,7.97,5.55,7.54,21.58,22.23,35.91,5.45,6.05,6.08,5.32,5.78,5.97,16.58,17.16,28.45
2,1,70,70,vernier,8.66,7.02,7.63,8.62,6.63,7.38,23.69,23.19,38.91,5.36,5.35,6.41,5.42,5.72,6.65,17.91,16.88,29.75
2,1,71,71,vernier,8.48,7.16,7.39,8.05,5.79,7.39,23.22,22.17,38.11,4.92,5.29,6.65,4.94,5.42,6.72,71.44,17.45,30.49
2,1,72,72,vernier,7.62,7.26,8.37,8.41,7.28,8.36,21.35,22.65,39.38,5.43,6.05,6.48,5.45,5.54,6.57,17.25,18.05,28.81
2,1,73,73,vernier,7.14,6.85,8.11,0,6.73,7.82,22.43,21.96,34.89,5.77,6.48,7.07,5.28,6.27,6.85,17.83,18.53,26.67
2,1,74,74,vernier,8.58,7.08,7.52,9.05,7.17,7.24,23.88,22.84,37.32,5.57,6.63,6.15,5.86,6.24,6.66,18.61,18.17,26.48
2,1,75,75,vernier,7.94,6.14,7.47,7.33,5.68,7.38,20.52,20.97,34.61,5.57,6.01,6.83,5.69,6.02,6.25,15.44,17.42,27.28
2,1,76,76,vernier,9.33,7.01,7.63,8.47,6.63,7.81,23.93,21.51,38.01,5.43,6.07,6.68,5.46,5.92,6.78,17.98,16.12,27.62
2,1,77,77,vernier,8.19,6.04,7.65,8.14,6.01,7.76,22.89,22.44,37.25,5.15,5.43,6.99,5.21,5.43,6.37,16.52,17.48,25.24
