"Evaluador","Obsevación","N Modelo","ID","Instrumento","mm_11","mm_12","mm_13","mm_21","mm_22","mm_23","mm_13_11","mm_23_21","mm_13_23","mm_41","mm_42","mm_43","mm_31","mm_32","mm_33","mm_43_41","mm_33_31","mm_43_33"
2,2,2,14,"Calibrador",7.9,6.9,8.2,8.1,6,8,20.5,21.2,36.5,4.9,5.6,6,5,6.1,6.9,16.5,16.8,29.9
2,2,3,18,"Calibrador",8.2,6.2,8,8.9,6.2,7.9,21.2,21.9,36.5,5.5,5.5,6.5,5,5.9,6.1,16.5,16.2,18.9
2,2,4,27,"Calibrador",8.9,6.1,6.5,8.2,6.3,7.2,21.8,21.8,336.1,5.2,5.9,6.1,5.5,5.9,6.2,16.2,16.5,26.9
2,2,5,50,"Calibrador",8.5,6.2,7.9,8.2,6.2,8,22.9,24.1,38.9,5.5,5.9,6.9,5.3,6.2,7.1,16.8,17.4,31.5
2,2,6,55,"Calibrador",7.2,5,7.5,7,5.1,7.9,20.9,20.1,33.9,5,5.4,6,5,5.1,6.1,15.8,15.9,27.8
2,2,7,60,"Calibrador",7.1,5.9,7.9,7.9,5.9,7.9,21.5,21.9,35.9,4.5,5.5,6.5,4.9,5.1,6.5,16.5,16.2,27.2
2,2,8,71,"Calibrador",8.1,6.5,7.5,7.5,5.9,7.8,21.9,20.9,36.2,4.7,5.2,6.7,4.9,4.9,6.5,16.2,16.1,28.1
2,2,9,76,"Calibrador",7.9,6.9,7.9,8.5,6.5,7.9,22.2,20.9,36.8,5.2,5.9,6.4,5.2,5.9,6.5,17.2,15.1,27.5
2,2,10,79,"Calibrador",7.5,6.5,NA,7.9,6.4,7.9,0,21.5,0,4.9,5.9,6.1,4.9,5.5,6.2,16.2,17.1,24.9
2,2,11,95,"Calibrador",8.1,6.1,7.1,8.1,6,7.5,21,22,35.2,5.1,5.9,6.1,5,5.9,6.5,16,17,25.2
2,2,12,116,"Calibrador",8.2,6.2,7.1,7.9,6,7.9,20,20.9,32.5,5,5.5,6.9,4.5,6,6.9,15.5,15.9,21.5
2,2,13,130,"Calibrador",8.1,5.9,8,8.1,6,7.9,21.9,22.1,38.2,5.9,7,6.1,6.1,6,6.9,18.5,19,31.5
