"Evaluador","ID","mm_11","mm_12","mm_13","mm_21","mm_22","mm_23","mm_13_11","mm_23_21","intercanina_sup","mm_41","mm_42","mm_43","mm_31","mm_32","mm_33","mm_43_41","mm_33_31","intercanina_inf","Edad","Sexo","Estatura","Origen"
2,27,9.12,6.74,7.36,8.65,6.57,7.49,21.8,21.79,36.84,5.42,6.06,7.43,5.51,6.15,6.35,16.31,17.08,27.66,30,"F",1.57,"Ciudad de México"
2,28,8.98,5.74,8.31,9.93,5.45,8.16,21.63,21.64,37.29,6.22,7.26,7.16,6.44,7.32,7.01,17.06,17.17,28.72,23,"F",1.56,"Ciudad de México"
2,29,9.04,7.92,7.55,9.23,7.71,7.71,23.01,22.56,41.11,5.52,6.56,6.87,5.85,6.26,6.7,17.17,17.79,30.53,19,"F",1.57,"Ciudad de México"
2,30,7.78,6.23,7.71,7.47,6.38,7.89,20.05,19.11,34.01,4.74,5.22,6.47,4.86,5.59,6.47,16.18,14.58,29.74,18,"F",1.55,"Estado de México"
2,31,8.64,7.84,8.04,8.47,7.51,8.19,22.19,21.19,22.07,6.34,6.48,7.79,5.81,6.13,7.33,13.99,14.27,23.66,18,"F",1.54,"Estado de México"
2,32,8.32,5.16,8.44,8.52,5.32,8.36,22.04,23.05,38.31,5.22,6.54,6.79,4.71,6.24,6.62,16.93,15.71,26.25,18,"M",1.71,"Estado de México"
2,33,8.66,5.56,7.49,8.69,5.2,7.88,21.34,21.11,35.63,5.06,5.08,6.44,4.65,5.96,6.45,15.78,16.86,28.62,18,"M",1.61,"Ciudad de México"
2,34,8.14,6.14,7.64,8.84,6.24,7.12,20.83,21.09,35.9,5.26,5.27,6.44,5.39,5.79,6.48,15.98,16.35,27.13,18,"M",1.55,"Ciudad de México"
2,35,8.32,7.52,7.77,9.04,7.31,7.35,22.6,21.49,36.52,5.98,6.36,7.23,5.51,6.45,6.99,15.82,17.85,28.61,18,"F",1.61,"Ciudad de México"
2,36,9.64,6.41,8.05,9.61,6.75,8.31,22.78,22.68,37.75,6.16,6.07,6.93,5.76,6.61,6.91,16.72,18.13,29.25,20,"F",1.67,"Ciudad de México"
2,37,7.74,7.14,7.17,7.81,6.86,7.25,20.89,21.81,33.89,4.87,5.19,5.52,4.75,5.41,6.27,15.33,16.32,25.58,19,"F",1.62,"Ciudad de México"
2,38,7.36,6.81,7.96,7.86,6.65,7.85,22.96,23.05,35.27,5.27,5.42,6.46,4.83,6.02,6.63,17.36,17.49,27.29,21,"F",1.56,"Ciudad de México"
2,39,8.14,6.88,8.89,8.36,6.61,8.91,24.11,24.54,38.58,5.93,6.11,6.89,6.07,6.51,7.12,17.2,18.67,30.05,19,"F",1.55,"Ciudad de México"
2,40,8.25,5.91,8.41,8.07,5.99,8.04,21.68,20.28,36.11,5.33,5.47,6.88,5.29,5.84,6.94,15.85,14.35,25.39,23,"F",1.51,"Estado de México"
2,41,8.41,6.95,8.28,8.57,7.35,8.05,25.18,25.31,40.73,5.57,6.35,6.77,5.97,5.98,6.79,18.92,19.04,31.32,18,"F",1.5,"Ciudad de México"
2,42,8.05,6.02,7.97,8.32,6.21,7.65,22.43,21.64,35.59,4.62,5.84,6.77,5.53,5.62,6.64,18.05,17.68,28.52,19,"M",1.9,"Ciudad de México"
